StartupName,City_Encoded,Investor_Encoded,InvestmentType_Encoded,Amount_Log,Year_Encoded,Month_Encoded,Cleaned_Description
Axtria,64,"[1663, 295, 1109, 1396, 3379]",21,17.216707972959764,0,5,big data analytics platform
33Coupons,75,[2831],28,9.90353755128617,0,5,coupon aggregator platform
Ampere,34,[3312],28,,0,5,electric scooter manufacturer
Hopping Chef,95,[2569],28,13.060490101343552,0,5,online food tech platform
Collectabillia,9,[135],21,15.830413711839864,0,5,celebrity fashion brand
Lendingkart,4,"[3550, 2507, 592, 3738]",21,16.118095750958314,0,5,online finance lending platform
Lybrate,102,"[4235, 3312, 2761]",21,16.13789837629371,0,5,healthcare mobile app
Zoomcar,9,"[3715, 1263, 2670]",21,16.213405921671733,0,5,self driven vehicle rental
News in shorts,111,[4232],21,16.811242881518265,0,5,news aggregator mobile app
Bluestone,9,"[1946, 135, 1194]",21,16.600521861931007,0,5,online jewellery store
Shopsity,52,"[3600, 4198]",28,,0,5,fashion info aggregator app
Notesgen,102,"[3239, 548, 3159]",28,,0,5,online study notes marketplace
Infinity Assurance,102,[1844],28,13.304686600863562,0,5,warranty programs service administration
Footprints Education,52,"[2282, 2211, 2208]",28,13.437175577097312,0,5,pre school chain
Loylty Rewards,95,[1852],21,16.77820302911965,0,5,premium loyalty rewards point management
Ameyo,52,[1376],21,15.424948670398354,0,5,contact center software platform
Mamagoto,102,[1532],21,16.118095750958314,0,5,casual dining restaurant chain
Satvacart,52,[2921],28,,0,5,online grocery delivery
MySmartPrice,60,"[135, 1663]",21,16.118095750958314,0,5,online comparison engine
Zenify,9,[623],28,,0,5,residential rental management platform
Boxmyspace,95,"[3407, 3837, 2897]",28,12.611541086966115,0,5,physical storage warehouses
HackerRank,9,[1619],21,15.830413711839864,0,5,tech recruitment platform
WickedRide,9,[4330],28,13.579789490265188,0,5,bike rental platform
WoWexpress,95,[4144],28,13.122365377402328,0,5,tech enabled logistics platform
Oyo Rooms,52,"[3896, 3715]",21,18.420680753952364,0,5,budget hotel accommodation
Mobikon,127,[2044],21,14.648420115681892,0,5,restaurant customer engagement platform
InstaLively.com,102,"[472, 355, 4318, 947]",28,,0,5,live video streaming app
Roadrunnr,9,"[3715, 2761, 813]",21,16.213405921671733,0,5,hyper local logistics platform
Ketto,95,"[3032, 4023]",28,13.45883704259595,0,5,crowd funding platform
QuikWallet,95,[3875],21,14.285514812209815,0,5,f b sector mobile payment platform
Omnikart,95,"[4032, 2439]",28,11.51293546492023,0,5,industrial supplies b2b ecommerce
Zo Rooms,102,"[4232, 2899]",21,16.52356082573315,0,5,online budget hotel chain
Innoviti,9,"[922, 2750]",21,15.394489469099211,0,5,payment solutions platform
ZenRadius,9,"[4261, 1095]",28,,0,5,online hiring platform
Joy by nature,102,"[2645, 4581, 2904]",21,13.815511557963774,0,5,organic food ecommerce
Iqlect,9,[1296],21,14.508658238524095,0,5,big data analytics platform
deGustibus,95,[1838],21,17.216707972959764,0,5,fine dining restaurant chain
Nestaway,9,"[1361, 4232]",21,16.36104190800008,0,5,luxury rental homes
Mswipe,183,"[1325, 2538, 2854, 2490, 1047, 652]",21,17.034386422832473,0,5,mobile point of sale payment solution
Myonsto,4,[2002],28,12.676079399771027,0,5,online grocers
iCrushiFlush,95,[1753],28,,0,5,casual dating app
MedGenome,9,[3715],21,16.811242881518265,0,5,clinical genomics provider
HolidayIQ,9,[2410],21,16.52356082573315,0,5,travel information portal
Fitternity,95,[1296],21,13.815511557963774,0,5,fitness marketplace
Quikr,95,"[60, 1325, 977]",21,17.909855136853043,0,5,online mobile classified listings
JetSetGo,102,[4692],28,,0,5,private jet helicopter marketplace
BroEx,52,[2309],21,13.815511557963774,0,5,real estate broker network app
Shopatplaces,102,[1844],28,,0,5,ethnic traditional fashion store
CredR,95,[1346],21,16.52356082573315,0,5,used bikes marketplace
ManageMySpa,60,[135],21,15.607270193858982,0,5,spa salon management software
Townrush,9,[2314],28,,0,5,b2b logistics delivery platform
Locus,9,"[4770, 2447]",28,,0,5,logistics automation platform
Bevy,9,[4425],28,,0,5,online hiring platform
Pepperfry,95,"[1532, 4725, 735]",21,18.420680753952364,0,5,online home décor marketplace
Flipkart.com,9,[3983],21,20.36659089443625,0,5,online marketplace
Opinio,9,"[135, 4273]",28,14.077875591662238,0,5,hyperlocal food grocery store
Zoctr,95,"[3607, 2191]",28,13.815511557963774,0,5,health tech platform
Zimmber,95,"[1753, 2864, 3768, 2590]",21,14.508658238524095,0,5,hyperlocal handyman services
trueHb,102,"[3565, 2418, 1601]",28,14.690979711984754,0,5,medical tech instruments
Zovi.com/ Little App,9,"[2969, 3497, 4236]",21,17.72753358339242,0,5,hyperlocal deals marketplace
Swajal,52,[121],21,13.997832948091215,0,5,innovative water solutions
Pipa Bella,95,[2327],21,13.304686600863562,0,5,online jewelry store
Pragmatix,95,[3530],21,14.690979711984754,0,5,business intelligence analytics
Droom.in,102,"[2300, 724]",21,16.588099342704055,0,5,used vehicle marketplace
MadRat Games,9,"[2214, 3433]",28,12.031725210748633,0,5,educational board games
Noodle Play,95,"[1254, 1486, 305]",28,12.031725210748633,0,5,chinese food delivery
Wassup,31,[665],21,,0,5,on demand laundry dry cleaning app
Cartisan,9,"[4684, 494]",28,,0,5,on demand car services app
LazyLad,52,"[1972, 2168, 1699]",21,13.122365377402328,0,5,hyperlocal grocery app
TripFactory,9,[95],21,,0,5,online curated holiday package bookings
Prothom,127,[2857],21,14.508658238524095,0,5,hasbro toy manufacturer
Bona Vita,52,[2410],21,15.424948670398354,0,5,travel tech
,183,[],48,,0,5,
,183,[],48,,0,5,
,183,[],48,,0,5,
TrulyMadly.com,183,"[1663, 2077]",21,15.520258832020865,0,7,
InstaLively,183,[1574],28,11.695255355062795,0,7,
Vserv,183,"[2497, 1753]",21,16.52356082573315,0,7,
Intruo.com,183,"[589, 262]",28,,0,7,
Niffler,183,[3497],28,13.815511557963774,0,7,
CustomFurnish.com,183,"[2383, 3671, 3950, 3949]",21,14.731801689838349,0,7,
MapMyGenome,183,[3224],21,13.997832948091215,0,7,
Crowdfire(formerly Justunfollow),183,[2084],21,14.731801689838349,0,7,
Bite Club,183,"[3020, 379, 573, 264]",28,13.122365377402328,0,7,
Localbanya,183,[3791],21,,0,7,
Appedo,183,[4339],28,13.815511557963774,0,7,
Fitraq.com,183,[4158],28,11.918397239722838,0,7,
ChargeBee,183,"[4232, 135]",21,15.424948670398354,0,7,
Groupon India,183,[3715],21,16.811242881518265,0,7,
Process 9,183,"[1736, 268, 2188, 3692, 201]",28,,0,7,
MoonFrog Labs,183,"[4232, 3724]",21,16.52356082573315,0,7,
Foodpanda,183,[3419],21,18.5159909328476,0,7,
Paytm,183,[3312],21,,0,7,
DiabetOmics,183,"[4463, 4423]",21,15.424948670398354,0,7,
Qyk,183,"[3020, 4723, 120, 3571]",28,,0,7,
Daily Rounds,183,"[2077, 1440, 4198]",28,13.122365377402328,0,7,
Orobind,183,"[4721, 2244, 1640]",28,12.206077645517674,0,7,
Routofy,183,"[2214, 3433]",28,,0,7,
Digital Gorkha,183,[3297],28,12.019749091416921,0,7,
NestAway,183,"[1750, 2718]",28,14.077875591662238,0,7,
The Better India,183,[1729],28,12.019749091416921,0,7,
Meru Cabs,183,[4418],21,17.72753358339242,0,7,
GolfLAN,183,[4686],28,,0,7,
Drivestream,183,[4630],21,15.424948670398354,0,7,
wWhere,183,[1574],28,12.206077645517674,0,7,
GoJavas,183,[3870],21,,0,7,
Tripoto,183,"[1750, 2906]",21,14.508658238524095,0,7,
Graphic India,183,"[858, 3969]",28,14.845130332288226,0,7,
Harness Handitouch,183,[521],21,,0,7,
Lets Corp,183,[4639],28,14.914123179965662,0,7,
CollateBox,183,[2282],28,12.100717685412471,0,7,
Mahindra First Choice,183,[4413],21,16.52356082573315,0,7,
Round One,183,"[1621, 535]",28,,0,7,
RazorPay,183,[4655],28,11.695255355062795,0,7,
Mosambee,183,[3180],21,,0,7,
Furlenco,183,[2295],21,15.607270193858982,0,7,
Cubito,183,[3906],28,11.982935344196433,0,7,
Teabox,183,"[1951, 2144, 1193, 135]",21,15.607270193858982,0,7,
Artoo,183,"[154, 3375]",21,13.122365377402328,0,7,
Fxkart.com,183,"[1173, 1171]",28,14.508658238524095,0,7,
Rozgar Mela,183,"[1802, 4382]",28,,0,7,
OYO Rooms,183,"[1565, 3715, 2296]",21,17.034386422832473,0,7,
Roposo.com,183,"[4235, 1850, 780]",21,15.424948670398354,0,7,
Teewe,183,"[3715, 1833]",28,14.375126917328105,0,7,
ePoise,183,[4330],28,,0,7,
Urjas,183,[3908],28,11.51293546492023,0,7,
Chargein,183,[3004],28,11.51293546492023,0,7,
Yogurt Labs,183,"[2769, 2159, 1331]",28,11.652696102959753,0,7,
LimeRoad.com,183,"[4232, 2490, 2314]",21,17.216707972959764,0,7,
Team Indus,183,"[2692, 3265, 200]",21,14.220976332738882,0,7,
Arohan Financial Services,183,[4153],21,16.118095750958314,0,7,
BillDesk,183,[4111],21,18.132998684833918,0,7,
Triphobo,183,"[2513, 2084]",21,14.914123179965662,0,7,
Aryaka,183,"[4284, 1916, 2605, 3080]",21,16.588099342704055,0,7,
Appsdaily,183,"[4724, 3466, 2084, 3139]",21,16.588099342704055,0,7,
,183,[],48,,0,7,
Swiggy,9,"[135, 3497]",21,14.508658238524095,0,0,online food delivery
Bluegape,52,"[3476, 4734]",28,12.206077645517674,0,0,web content publishing
KeepTrax,36,[],28,13.815511557963774,0,0,location based app
InstaLively,102,"[3254, 3223, 335, 2791, 73, 2532]",28,11.695255355062795,0,0,video streaming
Pricejugaad,60,"[343, 3599]",28,12.013706813470414,0,0,price comparison
Quikr,95,"[4232, 1932, 3981]",21,18.826145858727198,0,0,online classifieds
PressPlay,102,"[3715, 1991, 1989, 4740]",28,14.603968372873895,0,0,travel entertainment
LogiNext,95,"[221, 3628]",28,,0,0,logistics tech
FirstCry.com,127,"[3828, 2668, 4413, 1753, 3497, 4477]",21,16.118095750958314,0,0,ecommerce
MobiKwik,52,"[4274, 965, 314, 3715]",21,17.034386422832473,0,0,digital mobile wallet
Olacabs,9,"[1051, 3981, 4232, 136]",21,19.806975107572256,0,0,cab aggregator
Gadgetwood,102,"[201, 592, 4679, 2814]",28,12.206077645517674,0,0,device repair svcs
Bonhomia,102,"[2106, 3796, 3658]",28,14.508658238524095,0,0,premium beverages
Changer Mints,80,[1724],28,12.013706813470414,0,0,digital mobile wallet
Urban Ladder,9,"[3715, 4132, 3981, 3497, 2084]",21,17.72753358339242,0,0,online furnishingecommerce
Purple Squirrel,95,"[2491, 1833]",21,,0,0,ed tech
Whatfix,9,"[1662, 3021, 1442]",28,13.710151153416941,0,0,interactive how to guides
iMMi Life,31,[4371],28,,0,0,mobile health tech
Zomato,52,[1868],21,17.034386422832473,0,0,restaurant reviews
ZopNow,9,"[1193, 135, 3139, 4244]",21,16.118095750958314,0,0,online grocer
Nayi Disha,102,[213],28,12.611541086966115,0,0,ed tech
The Porter,95,[2077],28,13.122365377402328,0,0,logistics tech
Commeasure,111,[2044],28,13.815511557963774,0,0,online hotel booking
Capricoast,9,[139],28,14.038654909278163,0,0,online kitchen furniture
LocalOye,95,"[4235, 2314]",21,15.424948670398354,0,0,hyper local online services
Grofers,52,"[4232, 3715]",21,17.370858648025116,0,0,hyper local online mobile grocery
PepperTap,52,"[3497, 3715]",21,16.118095750958314,0,0,hyper local online mobile grocery
PolicyBazaar,52,"[3079, 4232, 3376]",21,17.50439003707821,0,0,online policy aggregator
UrbanClap,102,"[3497, 135, 2214, 3433]",28,14.285514812209815,0,0,hyperlocal mobile services marketplace
Taskbob,95,"[2897, 2511]",28,13.997832948091215,0,0,ondemandmobile handyman services
Robosoft,182,"[553, 2084]",21,16.300417291085605,0,0,mobile app development
Doormint,95,[3020],28,,0,0,on demand handyman services
Vyomo,52,[4684],28,,0,0,beauty wellness mobile app
Pastiwala,185,[195],21,15.201805169084134,0,0,material collection recycling
1mg (Healthkartplus),52,"[1081, 3715, 2864, 1911]",21,15.607270193858982,0,0,online pharmacy drug db
Freshdesk,31,"[4232, 1540]",21,17.72753358339242,0,0,online mobile customer support
Sulekha.com,31,[1431],21,17.147715103853763,0,0,online classifieds listings
FindYahan,102,[4213],21,,0,0,hyperlocal services marketplace
Eat.Shop.Love,9,[4338],21,15.068273812173887,0,0,fashion ecommerce
Avanti Learning,102,"[2542, 2975]",21,14.220976332738882,0,0,private coaching centers
Simplilearn,9,"[2513, 2084, 1664]",21,16.52356082573315,0,0,online certification courses
Craftstvilla,95,"[3715, 2766, 2316, 1426]",21,16.705882371415992,0,0,ethnic product ecommerce
HeadOut,11,"[4475, 40, 2763]",28,14.403297778421795,0,0,last minute travel deals mobile marketplace
happay,9,[393],28,13.122365377402328,0,0,business expense management
Jugnoo,29,"[3281, 4501]",28,13.815511557963774,0,0,auto rickshaw based logistics
EazyDiner,102,"[1093, 1593]",28,,0,0,restaurant reservation app
Phone Warrior,102,[2316],28,,0,0,spam call block app
Coverfox,95,"[146, 133, 3502]",21,16.300417291085605,0,0,online insurance aggregator
Torqus,127,[3489],28,12.765691290604371,0,0,restaurant management platform
Grab,95,"[2858, 1631]",28,13.815511557963774,0,0,food logistics delivery
LogicRoots,70,"[196, 887, 48]",28,12.899222326086994,0,0,interactive educational games
GIBBS,102,[1886],21,,0,0,clean tech
Babajobs,9,[3522],21,16.118095750958314,0,0,grey collar job board
Urban Ladder,9,"[364, 4449]",21,,0,0,online furniture ecommerce
Jay Robotix,60,[1015],28,12.429220196836383,0,0,robotic program learning
Naaptol.com,95,[2578],21,16.88356353960952,0,0,tele shopping ecommerce
ReGlobe,52,"[741, 813]",28,13.815511557963774,0,0,used gadgets buy refurbishing
Icertis,130,"[1571, 1346]",21,15.607270193858982,0,0,cloud enterprise software
Tracxn,9,[3497],21,15.068273812173887,0,0,startup analytics platform
Dazo,9,"[4033, 494, 261, 3223, 317, 4518, 1476, 563]",28,,0,0,mobile food ordering app
Tradelab,9,[3213],28,12.899222326086994,0,0,financial markets software
PiQube,31,[4211],28,13.122365377402328,0,0,hiring analytics platform
Travel Triangle,111,"[739, 3497]",21,15.894952224644102,0,0,online travel marketplace
TOFlo,95,[4151],28,11.51293546492023,0,11,fintech startup incubation platform
FXMartIndia,29,[1361],21,,0,11,payment services platform
Stylecracker,95,[1577],21,13.815511557963774,0,11,personalized styling platform
Luxuryhues,52,[3360],21,13.710151153416941,0,11,luxury goods shopping platform
HolaChef,95,[3312],21,,0,11,food delivery platform
Zivame,9,"[4725, 2147]",21,17.50439003707821,0,11,online lingerie marketplace
Capillary Tech,102,"[4601, 3715, 2829]",21,17.622173069956816,0,11,cloud software solutions
Jobspire,9,[3122],28,12.468440756144114,0,11,job search platform
MeraDoctor,95,[1834],28,,0,11,doctor consultancy mobile app
Vistaar Finance,9,"[4616, 2864, 1245, 3550, 2336]",21,17.50439003707821,0,11,small business financing nbfc
HiJinny,95,[878],28,,0,11,beauty wellness services marketplace
Clapsnslaps,95,[3152],28,11.918397239722838,0,11,online movie review platform
Blubox,95,[571],28,11.51293546492023,0,11,ecommerce brands full service agency
RoomCentral,9,[2116],28,14.508658238524095,0,11,cloud based hotel booking platform
YouthKiAwaaz,102,"[3186, 3409]",28,13.304686600863562,0,11,community driven news views platform
Prozo,102,"[2687, 3788, 1153]",28,12.230770136157428,0,11,study material marketplace
Zomato,52,"[4187, 4583]",21,17.909855136853043,0,11,restaurant ratings reviews platform
Sahayog Dairy,22,[160],21,14.403297778421795,0,11,dairy based product manufacturer
MockBank,9,[813],28,12.899222326086994,0,11,government test preparation platform
ReportBee,31,[1828],28,,0,11,smart report cards for schools
GuruG Learning,9,[1828],28,,0,11,teacher empowerment platform
OnlineTyari,52,"[40, 4133, 4147, 4502, 270]",21,13.554147092530322,0,11,multilingual test preparation platform
IndustryBuying,102,"[2084, 3497, 723]",21,16.034714150714915,0,11,industrial tools marketplace
The/Nudge Foundation,9,"[2691, 1809, 2969]",28,12.660331092405906,0,11,non profit organization to alleviate poverty
FitMeIn,102,[1556],28,11.51293546492023,0,11,gym fitness studios subscription platform
Envoged,95,"[446, 2437, 1466]",28,,0,11,pre used luxury item marketplace
Zapyle,9,[],28,13.815511557963774,0,11,pre used apparel shopping mobile app
Renomania,102,[4005],28,,0,11,home design décor platform
CredR,95,[1239],21,16.52356082573315,0,11,used vehicles marketplace
YatraGenie,60,[555],21,,0,11,online bus cab ticketing platform
CanvasFlip,60,[739],28,13.997832948091215,0,11,mobile app testing platform
Shadowfax,52,[1241],21,16.012735246411598,0,11,hyperlocal delivery services
UE Life Sciences,178,"[93, 4371]",21,14.914123179965662,0,11,early cancer detection solutions
Ola Cabs,9,"[1325, 2677, 4232, 3896]",21,19.23161096461314,0,11,cab rental mobile app
Coverfox,95,[924],21,14.508658238524095,0,11,online insurance distribution platform
MoEngage,9,"[1663, 1298]",21,15.26242977619469,0,11,mobile marketing automation platform
Mubble,9,[2692],28,,0,11,prepaid mobile bill manager app
Tea Trails,95,"[412, 4510, 3805]",28,13.815511557963774,0,11,chain of tea café s
Room on Call,111,[2968],28,12.611541086966115,0,11,branded budget hotel marketplace
FYNE,9,[3601],28,,0,11,home fitting fixtures marketplace
ChaiPoint,9,[1241],21,16.118095750958314,0,11,food subscription platform
WedmeGood.com,52,[1844],28,12.923914877701906,0,11,wedding planning platform
XSTOK,95,[2858],28,13.017005083966255,0,11,b2b mobile auction marketplace
UniLog,9,[2084],21,,0,11,ecommerce data analytics platform
Paintcollar,95,[491],28,,0,11,designer merchandize marketplace
YepMe,52,"[2147, 1663]",21,18.132998684833918,0,11,private label fashion etailer
Bueno,52,[1683],28,13.304686600863562,0,11,online food ordering delivery
Plabro,102,"[3560, 3906, 2906, 3621]",28,12.765691290604371,0,11,real estate broker platform app
CureJoy,9,"[135, 4011, 2252, 4440]",21,13.955273369904273,0,11,online health wellness platform
Briston Technomach,102,[4330],28,11.918397239722838,0,11,internet of things platform
LabStreet,52,[2636],28,11.918397239722838,0,11,diagnostic labs aggregator platform
DailyNinja,9,"[494, 2689, 192]",28,,0,11,hyperlocal delivery platform
Portea Medical,9,"[135, 1919, 3139, 4466]",21,17.439851517607305,0,11,home medical care services
Neotrade Analytics,9,[3213],28,12.367345048436391,0,11,real time stock data platform
DishCo,95,"[360, 4317, 569, 3647]",28,,0,11,food discovery table booking app
LafaLafa,95,[40],28,11.736077016252437,0,11,coupons and cashback aggregator app
ConnectAbank,95,[3035],28,,0,11,financial products lead generation platform
VillFarm,9,"[4371, 3375, 3154, 4046]",28,,0,11,sustainable agri inputs firm
Bestdealfinance,95,"[2084, 4686]",21,14.914123179965662,0,11,financial services portal
GameXS.in,102,[2257],28,,0,11,pre owned games marketplace
The Man Company,102,"[2111, 289, 2449]",28,,0,11,content based subscription ecommerce platform
Virtual Logic,9,[4092],21,13.592368256649284,0,11,virtual reality 3d simulation and stereoscopic products
Furdo,9,[768],28,12.899222326086994,0,11,online interior designing platform
LogiNext,95,[2969],21,16.118095750958314,0,11,end to end logistics platform
Korra,102,[557],28,12.611541086966115,0,11,private label apparel sales
Credihealth,52,[3233],28,,0,11,healthcare consulting platform
Amigobulls,9,"[3752, 4486, 2592, 3841]",28,,0,11,stock market portal
SilverPush,53,[2353],21,13.997832948091215,0,11,cross device retargeting platform
Juggernaut,102,"[4625, 2732, 2692]",21,14.626441218624949,0,11,digital physical publishing platform
InnerChef,102,"[2988, 472, 4490, 4551, 3664]",21,14.375126917328105,0,11,food delivery platform
Quintype,9,[3186],21,15.009433329466965,0,11,data driven publishing platform
Capabiliti,111,"[40, 3866, 2214, 3433, 1503]",28,12.899222326086994,0,11,employee onboarding orientation platform
Fourth Partner Energy,60,"[1885, 4206]",21,14.508658238524095,0,11,solar power solutions company
Licious,9,"[2106, 4133]",28,13.815511557963774,0,11,online meat ordering platform
TravelKhana,102,[610],28,,0,11,online meal booking platform for train travelers
Quickli,102,"[40, 2486]",28,,0,11,hyperlocal delivery platform
Ola Cabs,9,[1139],21,17.216707972959764,0,11,cab booking app platform
Paytm,102,"[248, 455]",21,20.337603357605015,0,11,e commerce m commerce platform
Inmobi,9,[4194],21,18.420680753952364,0,11,mobile advertising platform
Peppertap,52,"[3726, 3502]",21,17.399029524198163,0,11,hyperlocal grocery delivery
Hugefly,127,[2506],28,,0,11,ecommerce product recommendation platform
Brigge,31,[4206],28,,0,11,activity based social network
Zakoopi,102,[4365],28,12.765691290604371,0,11,fashion discovery platform
LoanCircle,9,"[4721, 3202]",28,,0,11,consumer lending marketplace
Infoworks,13,"[2761, 2172]",21,15.424948670398354,0,11,big data management platform
RedDoorz,111,[2044],28,13.815511557963774,0,11,budget accommodation platform
FirstTouch,52,"[2214, 3433, 3041, 2719, 323, 2505]",28,,0,11,local mobile os
Eywa Media,9,"[4734, 4512, 2458]",28,13.815511557963774,0,11,digital signal processing platform
Foodpanda,52,"[1532, 3417]",21,18.420680753952364,0,8,online food delivery
Termsheet,31,"[368, 2790, 3678, 2135, 1472, 661, 2776]",28,11.51293546492023,0,8,fund raising platform
Applicate,9,"[3397, 323, 3266]",28,13.217675375388819,0,8,workforce management software
World Art Community,52,[4541],28,12.206077645517674,0,8,online art marketplace
SpoonJoy,9,[3497],28,13.815511557963774,0,8,online food delivery
Seed Schools,60,[160],28,13.384729180332174,0,8,affordable education
Ignis Careers,60,[160],28,12.429220196836383,0,8,career development
Square Yards,52,[4339],21,15.607270193858982,0,8,real estate advisory
Fintellix,9,"[1750, 3715]",21,16.52356082573315,0,8,banking analytics platform
Customer360,95,[4562],28,,0,8,customer engagement platform
Delhivery,52,"[4235, 2639, 2761, 4244]",21,18.258161826219297,0,8,ecommerce logistics
Swiggy,9,[2829],21,16.52356082573315,0,8,online food delivery
Uniphore,31,"[1750, 2188]",21,,0,8,speech recognition solutions
Box8,95,[2513],21,15.068273812173887,0,8,online food delivery
Toppr,95,"[1347, 3497, 1664]",21,16.118095750958314,0,8,online education platform
Vedantu,9,"[135, 4235]",21,15.424948670398354,0,8,online education platform
BuyHatke,9,"[3494, 724]",28,13.815511557963774,0,8,online product comparison
KleverKid,102,[95],28,,0,8,online education platform
Uniken,127,[1298],21,14.508658238524095,0,8,online security platform
GrandOpinion,102,[1365],28,11.918397239722838,0,8,online medical diagnostic
HealthifyMe,9,[2552],21,,0,8,health fitness app
ZapStitch,9,"[1663, 2897]",21,14.508658238524095,0,8,cloud data integration platform
Wassup,31,"[534, 3066]",21,14.508658238524095,0,8,mobile laundry cleaning service
Mobiefit,49,[3105],28,,0,8,mobile fitness app
Plancess,95,"[3240, 938]",28,14.508658238524095,0,8,online education platform
WorkHorse,95,[4339],28,,0,8,service on demand mobile app
Innovaccer,111,"[3223, 4197, 379, 4448]",28,,0,8,intelligent data analytics
MyCuteOffice,95,[2257],28,,0,8,online office rental
IndianRoots.com,52,[2066],21,15.424948670398354,0,8,lifestyle ecommerce portal
RedPolka,95,[4339],28,12.429220196836383,0,8,online fashion aggregator
Venturesity,9,"[2988, 1998, 1668, 3335]",28,12.506180941677357,0,8,online job skills showcase
TheBetterIndia.com,9,[2590],28,,0,8,online news media
Awaaz De,4,[3591],28,,0,8,enterprise communication platform
Chaayos,102,[4235],21,13.815511557963774,0,8,offline tea chain
Akosha,102,[3715],21,16.588099342704055,0,8,business messaging app
Cooey,9,[4001],28,13.060490101343552,0,8,health mobile app
MeetUniv,111,[2979],28,13.815511557963774,0,8,online ed tech platform
Inspirock,183,[2411],21,,0,8,online travel planning
Crown-it,52,"[135, 1663]",21,15.520258832020865,0,8,hyperlocal mobile marketplace
Trucksfirst,52,[3503],21,16.118095750958314,0,8,trucking logistic operations
Lookup,9,[785],21,14.914123179965662,0,8,b2c messaging app
SunTerrace,102,[4044],21,,0,8,rooftop solar plants
Nudgespot,9,"[2077, 448, 2558, 4396]",28,13.345508528717259,0,8,customer engagement platform
CarDekho,70,[1611],21,,0,8,online car portal
EveningFlavors,9,[3615],28,13.122365377402328,0,8,online table reservation
Razorpay,9,[3117],28,,0,8,online payment gateway
ZenParent,9,[4777],28,13.122365377402328,0,8,parents focused web content
Newgen Payments,102,[1981],28,,0,8,payments solution provider
UrbanPro,9,[2800],21,14.508658238524095,0,8,on demand service marketplace
Goodbox,9,[2432],28,12.206077645517674,0,8,on demand business messaging
Renderlogy,60,[609],21,13.815511557963774,0,8,online home décor
Postman,9,[2761],28,13.815511557963774,0,8,api workflow platform
Casa2inns,102,"[135, 2084]",21,15.424948670398354,0,8,affordable hotel booking online
FleetRover,49,"[4239, 3640]",28,12.100717685412471,0,8,logistics intelligence
TheKarrier,9,"[3906, 2906, 2781]",28,12.388398368982115,0,8,last mile logistics
Zoomcar,9,[3715],21,15.424948670398354,0,8,self driven car rental
Truweight,60,[2084],21,,0,8,weight management service
Ather Energy,9,[4232],21,16.300417291085605,0,8,electric scooter manufacturer
Faaya,183,[1574],34,9.717218213494077,0,3,
InstaBounce,183,[1574],34,9.717218213494077,0,3,
Chloroplast Foods,183,[1574],34,9.717218213494077,0,3,
Dealwithus,183,[1574],34,9.717218213494077,0,3,
CleverSharks,183,[1574],34,9.717218213494077,0,3,
Leaf,183,[1574],34,9.717218213494077,0,3,
SmartPocket,183,"[3906, 3264]",34,12.429220196836383,0,3,
Yumist,183,[2896],21,13.815511557963774,0,3,
NowFloats,183,[2864],21,,0,3,
FirstCry,183,[4414],21,17.073607134447293,0,3,
HolaChef,183,[1833],34,12.691583538230217,0,3,
Frsh.co.in,183,"[1833, 2077]",34,13.157732451741687,0,3,
Manthan,183,"[4187, 2829]",21,17.909855136853043,0,3,
Kobster.com,183,[3933],34,,0,3,
